symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isActivelyTrading
AAFTX,American Funds 2035 Target Date Retirement Fund,39213321861,,,1.08,17.55,0.0,0,NASDAQ,NASDAQ,,False,True
KMI,"Kinder Morgan, Inc.",39209662800,Energy,Oil & Gas Midstream,0.945,17.64,1.13,9407682,New York Stock Exchange,NYSE,US,False,True
VFFVX,Vanguard Target Retirement 2055 Fund,39200489423,,,1.26,49.68,0.0,0,NASDAQ,NASDAQ,US,False,True
NU,Nu Holdings Ltd.,39035769561,Financial Services,Banks—Diversified,0.944,8.33,0.0,7204318,New York Stock Exchange,NYSE,BR,False,True
MFEGX,MFS Growth Fund Class A,38985609173,,,1.09,157.81,0.0,0,NASDAQ,NASDAQ,,False,True
AMP,"Ameriprise Financial, Inc.",38980433580,Financial Services,Asset Management,1.466227,379.83,5.4,315810,New York Stock Exchange,NYSE,US,False,True
MFEIX,MFS Growth Fund,38920014813,,,1.09,172.07,0.0,0,NASDAQ,NASDAQ,,False,True
URI,"United Rentals, Inc.",38867267730,Industrials,Rental & Leasing Services,1.825,573.42,5.92,299318,New York Stock Exchange,NYSE,US,False,True
VUSA.AS,Vanguard S&P 500 UCITS ETF,38618789729,,,0.0,81.598,0.18,54227,Amsterdam,EURONEXT,US,True,True
ENGI.PA,ENGIE SA,38533650883,Utilities,Utilities—Diversified,0.944,15.918,1.4,2057867,Paris,EURONEXT,FR,False,True
ADM,Archer-Daniels-Midland Company,38520775820,Consumer Defensive,Farm Products,0.817,72.22,1.8,2192461,New York Stock Exchange,NYSE,US,False,True
PCG,PG&E Corporation,38467185300,Utilities,Utilities—Regulated Electric,1.152,18.03,0.04,9021584,New York Stock Exchange,NYSE,US,False,True
DOW,Dow Inc.,38464611480,Basic Materials,Chemicals,1.308,54.84,2.8,2267323,New York Stock Exchange,NYSE,US,False,True
WCN,"Waste Connections, Inc.",38458370461,Industrials,Waste Management,0.664,149.27,1.14,451491,New York Stock Exchange,NYSE,CA,False,True
ALC,Alcon Inc.,38419416000,Healthcare,Medical Instruments & Supplies,0.674,78.12,0.23,318180,New York Stock Exchange,NYSE,CH,False,True
HSY,The Hershey Company,38143054484,Consumer Defensive,Confectioners,0.334,186.44,4.77,1487435,New York Stock Exchange,NYSE,US,False,True
VWUAX,Vanguard U.S. Growth Fund Admiral Shares,38128951271,,,1.21,146.69,0.0,0,NASDAQ,NASDAQ,US,False,True
VTWNX,Vanguard Target Retirement 2020 Fund,38096515067,,,0.8,26.91,0.0,0,NASDAQ,NASDAQ,,False,True
AME,"AMETEK, Inc.",38056447110,Industrials,Specialty Industrial Machinery,1.19,164.89,1.0,501688,New York Stock Exchange,NYSE,US,False,True
HLN,Haleon plc,38000271310,Healthcare,Drug Manufacturers—Specialty & Generic,0.0,8.23,0.09,2439888,New York Stock Exchange,NYSE,GB,False,True
MRNA,"Moderna, Inc.",37918693800,Healthcare,Biotechnology,1.618,99.45,0.0,5197399,NASDAQ Global Select,NASDAQ,US,False,True
VWUSX,Vanguard U.S. Growth Fund,37894743955,,,1.21,56.63,0.0,0,NASDAQ,NASDAQ,US,False,True
CTSH,Cognizant Technology Solutions Corporation,37871723890,Technology,Information Technology Services,1.081,75.53,1.16,1640496,NASDAQ Global Select,NASDAQ,US,False,True
IAU,iShares Gold Trust,37864955866,,,0.13,39.03,0.0,4847571,New York Stock Exchange Arca,AMEX,US,True,True
LYG,Lloyds Banking Group plc,37773162595,Financial Services,Banks—Regional,1.229,2.39,0.12,3592787,New York Stock Exchange,NYSE,GB,False,True
BN.PA,Danone S.A.,37645743181,Consumer Defensive,Packaged Foods,0.464,58.68,2.0,494527,Paris,EURONEXT,FR,False,True
BIIB,Biogen Inc.,37495255460,Healthcare,Drug Manufacturers—General,0.082,258.77,0.0,777448,NASDAQ Global Select,NASDAQ,US,False,True
PRU,"Prudential Financial, Inc.",37439310000,Financial Services,Insurance—Life,1.373,103.71,5.0,954323,New York Stock Exchange,NYSE,US,False,True
PLTR,Palantir Technologies Inc.,37361742754,Technology,Software—Infrastructure,2.765,17.17,0.0,38407628,New York Stock Exchange,NYSE,US,False,True
MUB,iShares National Muni Bond ETF,37349461334,,,0.91,108.41,2.86836,3543436,New York Stock Exchange Arca,AMEX,US,True,True
CEG,Constellation Energy Corporation,37287910000,Utilities,Utilities—Renewable,0.0,116.89,1.13,849863,NASDAQ Global Select,NASDAQ,US,False,True
LVS,Las Vegas Sands Corp.,37073288490,Consumer Cyclical,Resorts & Casinos,1.138,49.21,0.4,2940236,New York Stock Exchange,NYSE,US,False,True
VSIAX,Vanguard Small-Cap Value Index Fd Admiral,37017026529,,,1.0,78.08,0.759,0,NASDAQ,NASDAQ,,False,True
FAST,Fastenal Company,37010420010,Industrials,Industrial Distribution,1.073,64.77,1.4,2620729,NASDAQ Global Select,NASDAQ,US,False,True
GIS,"General Mills, Inc.",36992354600,Consumer Defensive,Packaged Foods,0.232,65.14,2.36,3684004,New York Stock Exchange,NYSE,US,False,True
NTR.TO,Nutrien Ltd.,36917933550,Basic Materials,Agricultural Inputs,0.96,74.65,2.94,1023679,Toronto Stock Exchange,TSX,CA,False,True
SYY,Sysco Corporation,36884724360,Consumer Defensive,Food Distribution,1.121,73.13,2.0,1908414,New York Stock Exchange,NYSE,US,False,True
EA,Electronic Arts Inc.,36797238460,Communication Services,Electronic Gaming & Multimedia,0.82,136.81,0.76,985211,NASDAQ Global Select,NASDAQ,US,False,True
MPLX,MPLX LP,36764797225,Energy,Oil & Gas Midstream,1.347,36.72,3.4,1080337,New York Stock Exchange,NYSE,US,False,True
LI,Li Auto Inc.,36657493422,Consumer Cyclical,Auto Manufacturers,0.925,37.43,0.0,6389311,NASDAQ Global Select,NASDAQ,CN,False,True
ACA.PA,Crédit Agricole S.A.,36656104764,Financial Services,Banks—Regional,1.557,12.852,1.05,2328770,Paris,EURONEXT,FR,False,True
ALL,The Allstate Corporation,36630946260,Financial Services,Insurance—Property & Casualty,0.541,139.98,3.56,638424,New York Stock Exchange,NYSE,US,False,True
YUM,"Yum! Brands, Inc.",36625043280,Consumer Cyclical,Restaurants,1.014,130.66,2.42,1196719,New York Stock Exchange,NYSE,US,False,True
OTIS,Otis Worldwide Corporation,36616402730,Industrials,Specialty Industrial Machinery,0.898,89.47,1.36,1014131,New York Stock Exchange,NYSE,US,False,True
MDIJX,MFS International Diversification Fund,36594457795,,,0.99,22.21,0.0,0,NASDAQ,NASDAQ,US,False,True
MDIZX,MFS International Diversification Fund Class R6,36594435524,,,0.99,22.22,0.0,0,NASDAQ,NASDAQ,US,False,True
MDIDX,MFS International Diversification Fund Class A,36545028088,,,0.99,21.95,0.0,0,NASDAQ,NASDAQ,US,False,True
ADYEN.AS,Adyen N.V.,36187932000,Technology,Software—Infrastructure,1.522,1166.6,0.0,50712,Amsterdam,EURONEXT,NL,False,True
ABC,AmerisourceBergen Corporation,36149702920,Healthcare,Medical Distribution,0.562175,179.98,1.94,806054,New York Stock Exchange,NYSE,US,False,False
VBILX,Vanguard Intermediate-Term Bond Index Fund Admiral Shares,36103581695,,,1.08,10.36,0.07100000000000001,0,NASDAQ,NASDAQ,,False,True
BIV,Vanguard Intermediate-Term Bond Index Fund,36084684212,,,1.08,76.38,2.3617700000000004,1033541,New York Stock Exchange Arca,AMEX,US,True,True
ON,ON Semiconductor Corporation,35976203940,Technology,Semiconductors,1.814,83.53,0.0,4166107,NASDAQ Global Select,NASDAQ,US,False,True
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,35941776993,,,0.0,91.3917,4.50038,5486090,New York Stock Exchange Arca,AMEX,US,True,True
BCE,BCE Inc.,35925350120,Communication Services,Telecom Services,0.512,39.38,2.89,1803122,New York Stock Exchange,NYSE,CA,False,True
AEM.TO,Agnico Eagle Mines Limited,35916589888,Basic Materials,Gold,0.909,72.65,2.15,643365,Toronto Stock Exchange,TSX,CA,False,True
VO,Vanguard Mid Cap Index Fund,35820276394,,,1.04,232.64,3.5345000000000004,702758,New York Stock Exchange Arca,AMEX,US,True,True
CRG.IR,CRH plc,35771755423,Basic Materials,Building Materials,0.90578,50.34,1.16,4366444,Irish,EURONEXT,IE,False,False
EXC,Exelon Corporation,35736188300,Utilities,Utilities—Regulated Electric,0.608,35.9,1.44,4374890,NASDAQ Global Select,NASDAQ,US,False,True
IFC.TO,Intact Financial Corporation,35727892020,Financial Services,Insurance—Property & Casualty,0.575,203.86,4.4,156060,Toronto Stock Exchange,TSX,CA,False,True
SPOT,Spotify Technology S.A.,35691329818,Communication Services,Internet Content & Information,1.649,187.91,0.0,1389010,New York Stock Exchange,NYSE,LU,False,True
CSGP,"CoStar Group, Inc.",35686842570,Real Estate,Real Estate Services,0.888,87.39,0.0,1163995,NASDAQ Global Select,NASDAQ,US,False,True
VTINX,Vanguard Target Retirement Income Fund,35680788479,,,0.66,13.03,0.047,0,NASDAQ,NASDAQ,,False,True
FIS,"Fidelity National Information Services, Inc.",35590513880,Technology,Information Technology Services,0.909,60.07,2.08,2176416,New York Stock Exchange,NYSE,US,False,True
ROK,"Rockwell Automation, Inc.",35575419360,Industrials,Specialty Industrial Machinery,1.42,310.48,5.0,325843,New York Stock Exchange,NYSE,US,False,True
AAGTX,American Funds 2040 Target Date Retirement Fund Class A,35437740020,,,1.18,18.47,0.0,0,NASDAQ,NASDAQ,,False,True
RFGTX,American Funds 2040 Target Date Retirement Fund Class R-6,35437740017,,,1.18,18.58,0.0,0,NASDAQ,NASDAQ,,False,True
FAUTX,American Funds 2040 Target Date Retirement Fd Cl F-1,35360533618,,,1.18,18.32,0.0,0,NASDAQ,NASDAQ,,False,True
BBD,Banco Bradesco S.A.,35329711613,Financial Services,Banks—Regional,0.7,3.5,0.12,4406004,New York Stock Exchange,NYSE,BR,False,True
TTD,"The Trade Desk, Inc.",35281782842,Technology,Software—Application,1.592,71.96,0.0,3740595,NASDAQ Global Market,NASDAQ,US,False,True
PPG,"PPG Industries, Inc.",35263890000,Basic Materials,Specialty Chemicals,1.24,149.55,2.6,806692,New York Stock Exchange,NYSE,US,False,True
GEHC,GE HealthCare Technologies Inc.,35197953546,Healthcare,Health Information Services,0.0,77.32,0.12,1700158,NASDAQ Global Select,NASDAQ,US,False,True
IT,"Gartner, Inc.",35163392946,Technology,Information Technology Services,1.323,451.11,0.0,288977,New York Stock Exchange,NYSE,US,False,True
VEUSX,Vanguard European Stock Index Fund Admiral Shares,35028742093,,,1.14,80.69,1.955,0,NASDAQ,NASDAQ,US,False,True
SCHX,Schwab U.S. Large-Cap ETF,34996803424,,,1.01,56.4,0.7855,1866908,New York Stock Exchange Arca,AMEX,US,True,True
PRWCX,T. Rowe Price Capital Appreciation Fund,34937134510,,,1.0,33.91,0.0,0,NASDAQ,NASDAQ,US,False,True
TRAIX,T. Rowe Price Capital Appreciation Fund I Class,34926833644,,,1.0,33.9,0.758,0,NASDAQ,NASDAQ,US,False,True
MBLY,Mobileye Global Inc.,34922329584,Consumer Cyclical,Auto Parts,1.1,43.32,0.0,1950826,NASDAQ Global Select,NASDAQ,IL,False,True
IBKR,"Interactive Brokers Group, Inc.",34900219888,Financial Services,Capital Markets,0.725,82.9,0.4,597440,NASDAQ Global Select,NASDAQ,US,False,True
QSR,Restaurant Brands International Inc.,34868481987,Consumer Cyclical,Restaurants,0.981,78.13,2.2,704673,New York Stock Exchange,NYSE,CA,False,True
IXUS,iShares Core MSCI Total International Stock ETF,34818143973,,,1.04,64.93,2.0299199999999997,2186772,NASDAQ Global Market,NASDAQ,US,True,True
QSP-UN.TO,Restaurant Brands International Limited Partnership,34667892684,Consumer Cyclical,Restaurants,0.914,103.3,2.92,256,Toronto Stock Exchange,TSX,CA,False,True
VRSK,"Verisk Analytics, Inc.",34631594820,Industrials,Consulting Services,0.844,238.86,1.36,520642,NASDAQ Global Select,NASDAQ,US,False,True
PACLX,T. Rowe Price Capital Appreciation Fund Advisor Class,34401381831,,,1.0,33.39,0.0,0,NASDAQ,NASDAQ,US,False,True
BKR,Baker Hughes Company,34392941400,Energy,Oil & Gas Equipment & Services,1.387,34.18,0.8,5019987,NASDAQ Global Select,NASDAQ,US,False,True
TD-PFA.TO,The Toronto-Dominion Bank 5 YR RST PFD 1,34345332728,,,0.0,18.67,0.0,3833,Toronto Stock Exchange,TSX,,False,True
T.TO,TELUS Corporation,34308900000,Communication Services,Telecom Services,0.7,23.58,1.5,2173602,Toronto Stock Exchange,TSX,CA,False,True
XEL,Xcel Energy Inc.,34162928560,Utilities,Utilities—Regulated Electric,0.434,61.91,2.08,2813273,NASDAQ Global Select,NASDAQ,US,False,True
NA.TO,National Bank of Canada,34010235000,Financial Services,Banks—Diversified,1.097,101.0,4.24,887883,Toronto Stock Exchange,TSX,CA,False,True
CMI,Cummins Inc.,33957849650,Industrials,Specialty Industrial Machinery,1.038,239.57,6.72,375278,New York Stock Exchange,NYSE,US,False,True
VTRLX,Vanguard Institutional Target Retirement 2050 Fund Institutional Shares,33946150882,,,1.43,32.04,0.0,0,NASDAQ,NASDAQ,US,False,False
EXR,Extra Space Storage Inc.,33874201740,Real Estate,REIT—Industrial,0.727,160.33,6.48,1017906,New York Stock Exchange,NYSE,US,False,True
BSPIX,iShares S&P 500 Index Fund Institutional Shares,33873606326,,,1.0,558.73,1.919,0,NASDAQ,NASDAQ,US,False,True
BSPAX,iShares S&P 500 Index Fund Investor A Shares,33779289811,,,1.0,558.71,1.634,0,NASDAQ,NASDAQ,US,False,True
CTVA,"Corteva, Inc.",33770613680,Basic Materials,Agricultural Inputs,0.727,47.92,0.64,2118183,New York Stock Exchange,NYSE,US,False,True
ENB-PFK.TO,Enbridge Inc. CUM RED PFD 19,33638549491,Industrials,,0.0,20.35,0.0,5027,Toronto Stock Exchange,TSX,US,False,True
NDAQ,"Nasdaq, Inc.",33544745100,Financial Services,Financial Data & Stock Exchanges,0.962,58.14,0.88,1468565,NASDAQ Global Select,NASDAQ,US,False,True
ITOT,iShares Core S&P Total U.S. Stock Market ETF,33531539395,,,1.01,105.23,1.55022,1804634,New York Stock Exchange Arca,AMEX,US,True,True
GFS,GLOBALFOUNDRIES Inc.,33523859400,Technology,Semiconductors,1.709,60.6,0.0,962098,NASDAQ Global Select,NASDAQ,US,False,True
VTEB,Vanguard Tax-Exempt Bond Index Fund,33456449972,,,0.97,51.05,1.4249,3074336,New York Stock Exchange Arca,AMEX,US,True,True
SGO.PA,Compagnie de Saint-Gobain S.A.,33456287237,Industrials,Building Products & Equipment,1.403,66.66,2.0,511437,Paris,EURONEXT,FR,False,True
VTEAX,Vanguard Tax-Exempt Bond Index Fund Admiral,33410574320,,,0.97,20.4,0.135,0,NASDAQ,NASDAQ,,False,True
RCL,Royal Caribbean Cruises Ltd.,33179870150,Consumer Cyclical,Travel Services,2.482,129.49,0.0,1819581,New York Stock Exchange,NYSE,US,False,True
DD,"DuPont de Nemours, Inc.",33083131060,Basic Materials,Specialty Chemicals,1.14,76.93,1.44,1698703,New York Stock Exchange,NYSE,US,False,True
GPN,Global Payments Inc.,33069403000,Industrials,Specialty Business Services,0.985,127.0,1.0,691675,New York Stock Exchange,NYSE,US,False,True
GIB-A.TO,CGI Inc.,33016150358,Technology,Information Technology Services,0.792,141.95,0.0,187515,Toronto Stock Exchange,TSX,CA,False,True
VICI,VICI Properties Inc.,32980816400,Real Estate,REIT—Diversified,0.984,31.88,1.66,4444805,New York Stock Exchange,NYSE,US,False,True
FSMAX,Fidelity Extended Market Index Fund,32900485097,,,1.06,78.06,0.086,0,NASDAQ,NASDAQ,US,False,True
KR,The Kroger Co.,32884825330,Consumer Defensive,Grocery Stores,0.467,45.71,1.16,3418575,New York Stock Exchange,NYSE,US,False,True
ZS,"Zscaler, Inc.",32864659480,Technology,Software—Infrastructure,0.867,221.56,0.0,785193,NASDAQ Global Select,NASDAQ,US,False,True
IWB,iShares Russell 1000 ETF,32848066311,,,1.0,262.26,3.44072,775569,New York Stock Exchange Arca,AMEX,US,True,True
RCI-A.TO,Rogers Communications Inc.,32804726734,Communication Services,Telecom Services,0.521,62.19,2.0,1620,Toronto Stock Exchange,TSX,CA,False,True
SCHF,Schwab International Equity ETF,32738456721,,,1.03,36.965,1.0966,3571541,New York Stock Exchange Arca,AMEX,US,True,True
RCI-B.TO,Rogers Communications Inc.,32713381772,Communication Services,Telecom Services,0.521,62.03,2.0,976090,Toronto Stock Exchange,TSX,CA,False,True
VNQ,Vanguard Real Estate Index Fund,32709192011,,,1.17,88.36,3.4925,5313253,New York Stock Exchange Arca,AMEX,US,True,True
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,32478711771,,,1.56,110.66,4.4205499999999995,17952893,New York Stock Exchange Arca,AMEX,US,True,True
XLF,Financial Select Sector SPDR Fund,32462833937,,,1.07,37.6,0.64198,30076252,New York Stock Exchange Arca,AMEX,US,True,True
HAL,Halliburton Company,32356129800,Energy,Oil & Gas Equipment & Services,2.034,36.15,0.64,4750738,New York Stock Exchange,NYSE,US,False,True
CAP.PA,Capgemini SE,32258140381,Technology,Information Technology Services,1.129,188.75,3.25,177000,Paris,EURONEXT,FR,False,True
FTBFX,Fidelity Total Bond,32225896447,,,0.98,9.59,0.094,0,NASDAQ,NASDAQ,,False,True
GSINX,Goldman Sachs GQG Partners International Opportunities Fund,32116889591,,,0.86,19.74,0.448,0,NASDAQ,NASDAQ,,False,True
PAMCX,T. Rowe Price Mid-Cap Growth Fund Advisor Class,32107204920,,,0.98,95.01,0.0,0,NASDAQ,NASDAQ,US,False,True
FFFEX,Fidelity Freedom 2030 Fund,31968909301,,,1.06,16.57,0.0,0,NASDAQ,NASDAQ,US,False,True
GOLD,Barrick Gold Corporation,31748480000,Basic Materials,Gold,0.3,18.08,0.4,11350816,New York Stock Exchange,NYSE,CA,False,True
FAPTX,American Funds 2025 Target Retirement Fd Cl F-1,31711549433,,,0.86,14.45,0.0,0,NASDAQ,NASDAQ,,False,True
CCDTX,American Funds 2025 Target Date Retirement Fund Class C,31711549433,,,0.86,14.28,0.0,0,NASDAQ,NASDAQ,,False,True
CVE,Cenovus Energy Inc.,31576558500,Energy,Oil & Gas Integrated,2.669,16.65,0.42,4951758,New York Stock Exchange,NYSE,CA,False,True
PPL-PA.TO,Pembina Pipeline Corporation,31553988602,Energy,Oil & Gas Midstream,1.514,20.33,1.23,5420,Toronto Stock Exchange,TSX,CA,False,True
ANSS,"ANSYS, Inc.",31524401664,Technology,Software—Application,1.167,362.88,0.0,776988,NASDAQ Global Select,NASDAQ,US,False,True
DLTNX,DoubleLine Total Return Bond Fund Class N,31518025726,,,0.85,8.83,0.111,0,NASDAQ,NASDAQ,,False,True
ED,"Consolidated Edison, Inc.",31404663400,Utilities,Utilities—Regulated Electric,0.375,90.97,3.24,1304268,New York Stock Exchange,NYSE,US,False,True
DBLTX,DoubleLine Total Return Bond Fund Class I,31376052634,,,0.86,8.84,0.119,0,NASDAQ,NASDAQ,,False,True
PWR,"Quanta Services, Inc.",31352503000,Industrials,Engineering & Construction,1.113,215.8,0.36,457106,New York Stock Exchange,NYSE,US,False,True
IR,Ingersoll Rand Inc.,31306999980,Industrials,Specialty Industrial Machinery,1.491,77.34,0.08,1449677,New York Stock Exchange,NYSE,US,False,True
VFIDX,Vanguard Intermediate-Term Investment Grade Fund Admiral Shrs,31231801341,,,1.21,8.68,0.07600000000000001,0,NASDAQ,NASDAQ,,False,True
VFICX,Vanguard Intermediate-Term Investment Grade Fund Investor Shrs,31231801341,,,1.2,8.68,0.07500000000000001,0,NASDAQ,NASDAQ,,False,True
VEEV,Veeva Systems Inc.,30998800320,Healthcare,Health Information Services,0.788,192.52,0.0,922561,New York Stock Exchange,NYSE,US,False,True
WKL.AS,Wolters Kluwer N.V.,30953766730,Industrials,Specialty Business Services,0.283,128.7,1.9,261604,Amsterdam,EURONEXT,NL,False,True
DLTR,"Dollar Tree, Inc.",30948717600,Consumer Defensive,Discount Stores,0.811,142.05,0.0,1211354,NASDAQ Global Select,NASDAQ,US,False,True
LYB,LyondellBasell Industries N.V.,30840338960,Basic Materials,Specialty Chemicals,1.18,95.08,5.0,957762,New York Stock Exchange,NYSE,US,False,True
MLM,"Martin Marietta Materials, Inc.",30836230152,Basic Materials,Building Materials,0.925,498.91,2.96,190892,New York Stock Exchange,NYSE,US,False,True
PUK,Prudential plc,30766827000,Financial Services,Insurance—Life,1.307,22.45,0.39,428622,New York Stock Exchange,NYSE,GB,False,True
GEN.BR,Assicurazioni Generali S.p.A.,30721274688,Financial Services,Insurance—Diversified,1.026651,19.5,1.16,77,Brussels,EURONEXT,IT,False,False
IMO,Imperial Oil Limited,30644518030,Energy,Oil & Gas Integrated,1.793,57.19,1.48,250226,American Stock Exchange,AMEX,CA,False,True
CCEP,Coca-Cola Europacific Partners PLC,30637730606,Consumer Defensive,Beverages—Non-Alcoholic,0.689,66.74,1.99,1076799,NASDAQ Global Select,NASDAQ,GB,False,True
DIA,SPDR Dow Jones Industrial Average ETF Trust,30548344289,,,0.88,376.87,6.805,3249326,New York Stock Exchange Arca,AMEX,US,True,True
IIVI,II-VI Incorporated,30513807103,Technology,Scientific & Technical Instruments,1.496126,227.08,12.0,247144,NASDAQ Global Select,NASDAQ,US,False,False
PEG,Public Service Enterprise Group Incorporated,30471901100,Utilities,Utilities—Regulated Electric,0.6,61.15,2.28,1883152,New York Stock Exchange,NYSE,US,False,True
EFX,Equifax Inc.,30470331930,Industrials,Consulting Services,1.479,247.29,1.56,464227,New York Stock Exchange,NYSE,US,False,True
CDW,CDW Corporation,30451787200,Technology,Information Technology Services,1.086,227.32,2.48,564143,NASDAQ Global Select,NASDAQ,US,False,True
JEPI,JPMorgan Equity Premium Income ETF,30414010469,,,0.62,55.005,4.618210000000001,3629723,New York Stock Exchange Arca,AMEX,US,True,True
ORAN,Orange S.A.,30394494323,Communication Services,Telecom Services,0.128,11.43,0.75,251583,New York Stock Exchange,NYSE,FR,False,True
RYAAY,Ryanair Holdings plc,30392744000,Industrials,Airlines,1.504,133.36,0.94,443707,NASDAQ Global Select,NASDAQ,IE,False,True
RRMGX,T. Rowe Price Mid-Cap Growth Fund,30319529905,,,0.98,89.72,0.0,0,NASDAQ,NASDAQ,US,False,True
CHT,"Chunghwa Telecom Co., Ltd.",30308357150,Communication Services,Telecom Services,0.015,39.07,1.48,64959,New York Stock Exchange,NYSE,TW,False,True
SLF,Sun Life Financial Inc.,30301538700,Financial Services,Insurance—Diversified,0.97,51.86,2.3,501980,New York Stock Exchange,NYSE,CA,False,True
EEM,iShares MSCI Emerging Markets ETF,30254003397,,,1.0,40.21,1.05814,48526731,New York Stock Exchange Arca,AMEX,US,True,True
DFEOX,DFA U.S. Core Equity 1 Portfolio,30222665725,,,0.98,36.06,0.115,0,NASDAQ,NASDAQ,,False,True
MPWR,"Monolithic Power Systems, Inc.",30221931360,Technology,Semiconductors,1.216,630.78,4.0,276550,NASDAQ Global Select,NASDAQ,US,False,True
FFH.TO,Fairfax Financial Holdings Limited,30205061912,Financial Services,Insurance—Property & Casualty,0.854,1222.51,13.38,27162,Toronto Stock Exchange,TSX,CA,False,True
VMC,Vulcan Materials Company,30163499503,Basic Materials,Building Materials,0.788,227.01,1.72,539537,New York Stock Exchange,NYSE,US,False,True
DFQTX,DFA U.S. Core Equity 2 Portfolio,30160111605,,,0.98,32.47,0.105,0,NASDAQ,NASDAQ,US,False,True
DG,Dollar General Corporation,29840617150,Consumer Defensive,Discount Stores,0.399,135.95,2.36,1737012,New York Stock Exchange,NYSE,US,False,True
HPQ,HP Inc.,29816241180,Technology,Computer Hardware,1.067,30.09,1.1,5195466,New York Stock Exchange,NYSE,US,False,True
BCS,Barclays PLC,29787582000,Financial Services,Banks—Diversified,1.355,7.88,0.38,13847671,New York Stock Exchange,NYSE,GB,False,True
AD.MI,Koninklijke Ahold Delhaize N.V.,29734899694,Consumer Defensive,Grocery Stores,0.206189,30.445,1.08,1414,Milan,EURONEXT,NL,False,False
VITNX,Vanguard Institutional Total Stock Market Index Fund Institutional Shares,29686575088,,,1.0,82.37,0.5660000000000001,0,NASDAQ,NASDAQ,US,False,True
WPM.TO,Wheaton Precious Metals Corp.,29612348520,Basic Materials,Gold,0.466,65.37,0.82,392147,Toronto Stock Exchange,TSX,CA,False,True
VITPX,Vanguard Institutional Total Stock Market Index Fund,29568087265,,,1.01,82.35,0.5660000000000001,0,NASDAQ,NASDAQ,US,False,True
EON.BR,E.ON SE,29549501962,Utilities,Utilities—Diversified,0.647147,11.32,0.51,75,Brussels,EURONEXT,DE,False,False
DFIEX,DFA International Core Equity Portfolio,29530667004,,,1.05,15.32,0.024,0,NASDAQ,NASDAQ,,False,True
MDB,"MongoDB, Inc.",29509811760,Technology,Software—Infrastructure,1.192,408.85,0.0,1093514,NASDAQ Global Market,NASDAQ,US,False,True
G.MI,Assicurazioni Generali S.p.A.,29466474077,Financial Services,Insurance—Diversified,0.99,19.105,1.16,1015827,Milan,EURONEXT,IT,False,True
VMLUX,Vanguard Limited-Term Tax-Exempt Fund Admiral Shares,29352058873,,,0.42,10.86,0.079,0,NASDAQ,NASDAQ,US,False,True
VMLTX,Vanguard Limited Term Tax-Exempt Fund,29352058873,,,0.42,10.86,0.057999999999999996,0,NASDAQ,NASDAQ,,False,True
RNNEX,American Funds The New Economy Fund Class R-2E,29338408920,,,1.02,51.82,0.0,0,NASDAQ,NASDAQ,,False,True
HUBS,"HubSpot, Inc.",29218868470,Technology,Software—Application,1.614,580.54,0.0,250285,New York Stock Exchange,NYSE,US,False,True
TRLGX,T. Rowe Price Large-Cap Growth Fund I Class,29152841715,,,1.07,65.78,0.0,0,NASDAQ,NASDAQ,US,False,True
WIT,Wipro Limited,29151259200,Technology,Information Technology Services,0.718,5.58,0.08,1246348,New York Stock Exchange,NYSE,IN,False,True
TECK-A.TO,Teck Resources Limited,29130887165,Basic Materials,Other Industrial Metals & Mining,1.271,55.9,0.5,3226,Toronto Stock Exchange,TSX,CA,False,True
FATTX,American Funds 2045 Target Date Retirement Fd Cl F-1,29072158711,,,1.22,18.78,0.0,0,NASDAQ,NASDAQ,,False,True
DVN,Devon Energy Corporation,29023710000,Energy,Oil & Gas E&P,2.225,45.3,2.87,9432551,New York Stock Exchange,NYSE,US,False,True
RBHTX,American Funds 2045 Target Date Retirement Fund Class R-2,28993201197,,,1.21,18.36,0.0,0,NASDAQ,NASDAQ,US,False,True
CPNG,"Coupang, Inc.",28944278314,Consumer Cyclical,Internet Retail,1.183,16.19,0.0,3715279,New York Stock Exchange,NYSE,KR,False,True
PKX,POSCO Holdings Inc.,28866332778,Basic Materials,Steel,1.319,95.11,1.42,55298,New York Stock Exchange,NYSE,KR,False,True
FICO,Fair Isaac Corporation,28766877536,Technology,Software—Application,1.247,1164.01,0.0,94859,New York Stock Exchange,NYSE,US,False,True
FSMDX,Fidelity Mid Cap Index Fund,28728231920,,,1.04,29.95,0.0,0,NASDAQ,NASDAQ,US,False,True
RKT,"Rocket Companies, Inc.",28703365255,Financial Services,Mortgage Finance,2.24,14.48,0.0,2848373,New York Stock Exchange,NYSE,US,False,True
TECK-B.TO,Teck Resources Limited,28694874722,Basic Materials,Other Industrial Metals & Mining,1.271,56.01,0.5,563843,Toronto Stock Exchange,TSX,CA,False,True
VAIPX,Vanguard Inflation-Protected Securities Fund,28641396736,,,0.87,23.03,0.076,0,NASDAQ,NASDAQ,US,False,True
VIPSX,Vanguard Inflation Protected Securities Fund,28641396726,,,0.87,11.73,0.035,0,NASDAQ,NASDAQ,,False,True
SYM,Symbotic Inc.,28603066269,Financial Services,Shell Companies,2.127,51.33,0.0,701022,NASDAQ Global Market,NASDAQ,US,False,True
